LastName;FirstName;BookTitle;PagesNb;Isbn;PublisherName;
Smith;Martin Cruz;December 6 (novel);352;0-684-87253-6;Simon & Schuster;
Smith;Patrick D.;A Land Remembered;403;0-910923-12-4;Pineapple Press;
Smith;Roland;Cryptid Hunters;352;978-0786851614;Hyperion Books;
Smith;Roland;Elephant Run;318;978-1-4231-0402-5;Hyperion Books;
Smullyan;Raymond Merrill;To Mock a Mockingbird;256;0-19-280142-2;Alfred A. Knopf;
Snedeker;Caroline Dale;Downright Dencey;314;1-883937-79-5;Doubleday (publisher);
Snodgrass;Melinda M.;The Tears of the Singers;252;ISBN 0-671-69654-8 (first edition, paperback);Pocket Books;
Snyder;Laurel;Up and Down the Scratchy Mountains;256;978-0-375-84719-6;Random House;
Snyder;Zilpha Keatley;The Witches of Worm;192;0-689-30066-2;Atheneum Books;
Snyder;Zilpha Keatley;Below the Root (novel);231;0-689-30457-9;Atheneum Books;
Snyder;Zilpha Keatley;The Headless Cupid;203;0-689-20687-9;Atheneum Books;
Snyder;Zilpha Keatley;Song of the Gargoyle;232;0-385-30301-7;Dell Publishing;
Snyder;Zilpha Keatley;And All Between;216;0-595-37030-6;Atheneum Books;
Snyder;Zilpha Keatley;Until the Celebration;214;0-595-37029-2;Atheneum Books;
Sobel;Robert;ITT: The Management of Opportunity;421;812910281;Times Books;
Sobel;Robert;For Want of a Nail (novel);441;1-85367-281-5;Macmillan Publishers;
Solnit;Rebecca;River of Shadows;320;ISBN 0142004103;Vikings;
Sones;Sonya;One of Those Hideous Books Where the Mother Dies;272;1-4169-0788-2;Simon & Schuster;
Sones;Sonya;What My Mother Doesn't Know;272;978-0-689-85553-5;Simon & Schuster;
Sones;Sonya;What My Girlfriend Doesn't Know;320;0-689-87603-3;Simon & Schuster;
Sorkin;Andrew Ross;Too Big to Fail (book);624;978-0-670-02125-3;Viking Press;
Sparks;Nicholas;The Last Song (novel);405;0-446-54756-5;Grand Central Publishing;
Sparks;Nicholas;A Walk to Remember (novel);240;0-446-60895-5;Grand Central Publishing;
Sparks;Nicholas;Nights in Rodanthe (novel);240;0-446-53133-2;Grand Central Publishing;
Sparks;Nicholas;Safe Haven (novel);432;978-0446547574;Grand Central Publishing;
Sparks;Nicholas;The Notebook (novel);224;0-446-52080-2;Grand Central Publishing;
Sparks;Nicholas;Message in a Bottle (novel);352;0-446-52356-9;Grand Central Publishing;
Sparks;Nicholas;The Lucky One (novel);336;0-446-57993-9;Grand Central Publishing;
Sparks;Nicholas;The Choice (novel);288;ISBN 978-0-446-57992-6 (first edition, hardback);Grand Central Publishing;
Sparks;Nicholas;The Longest Ride;568;978-1455520657;Grand Central Publishing;
Speare;Elizabeth George;Calico Captive;274;NA;Houghton Mifflin Harcourt;
Speare;Elizabeth George;The Bronze Bow;255;0-395-13719-5;Houghton Mifflin Harcourt;
Speare;Elizabeth George;The Sign of the Beaver;135;0-395-33890-5;Houghton Mifflin Harcourt;
Speare;Elizabeth George;The Witch of Blackbird Pond;249;NA & reissue ISBN 0-395-07114-3;Houghton Mifflin Harcourt;
Sperry;Armstrong;Call It Courage;116;0-689-86229-6;Macmillan Publishers;
Spinelli;Jerry;Milkweed (novel);208;978-03-7581374-0;HarperCollins;
Spinelli;Jerry;Who Put That Hair in My Toothbrush?;220;0-316-80687-0;Little, Brown and Company;
Spinelli;Jerry;Space Station Seventh Grade;232;0-316-80709-5;Little, Brown and Company;
Spinelli;Jerry;Stargirl (novel);186;0-679-88637-0;Scholastic Corporation;
Spinelli;Jerry;Loser (novel);218;0-06-054074-5;HarperCollins;
Spinelli;Jerry;Love, Stargirl;274;978-0-375-85644-0;Alfred A. Knopf;
Spinelli;Jerry;Wringer (novel);228;0-06-059282-6;HarperCollins;
Spinelli;Jerry;Eggs (novel);224;0-316-16646-4;Little, Brown and Company;
Spinrad;Norman;The Iron Dream;255;ISBN 0-380-00200-0 (first Avon printing);Avon (publisher);
Spinrad;Norman;Child of Fortune;467;978-0-7653-0155-0;Bantam Books;
Spitz;Marc;Bowie: A Biography;448;ISBN 0-307-39396-8, ISBN 978-0-307-39396-8;Crown Publishing Group;
Spitz;Marc;We Got the Neutron Bomb;296;ISBN 0-609-80774-9, ISBN 978-0-609-80774-3;Three Rivers Press;
Spitz;Marc;Nobody Likes You;224;ISBN 1-4013-0274-2, ISBN 978-1-4013-0274-0;Hyperion Books;
Spitz;Marc;Jagger: Rebel, Rock Star, Rambler, Rogue;320;ISBN 1-59240-655-6, ISBN 978-1-59240-655-5;Penguin Group;
Spitz;Marc;How Soon Is Never;400;ISBN 0-609-81040-5, ISBN 978-0-609-81040-8;Three Rivers Press;
Spitz;Marc;Too Much, Too Late;307;ISBN 1-4000-8293-5, ISBN 978-1-4000-8293-3;Three Rivers Press;
Stanford;Frank;The Battlefield Where The Moon Says I Love You;542;ISBN 0-918786-13-4 (1st), ISBN 0-918786-50-9 (2nd);Lost Roads Publishers;
Starr;Richard Dean;Tales of Zorro;332;978-1-933076-31-7;Moonstone Books;
Stead;Erin E.;A Sick Day for Amos McGee;32;978-1-59643-402-8;Macmillan Publishers;
Stead;Rebecca;First Light (Rebecca Stead novel);336;ISBN 978-0-375-84017-3;Random House;
Stead;Rebecca;When You Reach Me;208;ISBN 978-0-385-73742-5;Random House;
Steakley;John;Armor (novel);432;ISBN 0-88677-368-7;DAW Books;
Steffans;Karrine;Confessions of a Video Vixen;205;ISBN 978-0-06-084242-0;HarperCollins;
Steig;William;Shrek!;32;978-0-374-36877-7;Farrar, Straus and Giroux;
Steig;William;Doctor De Soto;32;0-374-41810-1;Farrar, Straus and Giroux;
Steig;William;Abel's Island;128;978-0-374-30010-4;Farrar, Straus and Giroux;
Stein;Gertrude;The Autobiography of Alice B. Toklas;310;n/a;Harcourt (publisher);
Steinbeck;John Ernst;Travels with Charley;288;0-14-005320-4;Viking Press;
Steinbeck;John Ernst;The Winter of Our Discontent;311;NA;Viking Press;
Steinbeck;John Ernst;Cannery Row (novel);208;N/A;Viking Press;
Stephenson;Neal;Seveneves;880;62190377;William Morrow (publisher);
Stephenson;Neal;Anathem;928;ISBN 978-0-06-147409-5 (first edition, hardback), ISBN 0-06-147410-X (mass market paperback);William Morrow and Company;
Stephenson;Neal;The Confusion;815;0-06-052386-7;William Morrow and Company;
Stephenson;Neal;Cryptonomicon;918;ISBN 0-380-97346-4;Avon (publisher);
Stephenson;Neal;Snow Crash;480;ISBN 0-553-08853-X (first edition, hardback);Bantam Books;
Stephenson;Neal;The Diamond Age;455;ISBN 0-553-09609-5 (hardcover), ISBN 0-553-38096-6 (paperback);Bantam Spectra;
Stephenson;Neal;The System of the World (novel);912;ISBN 0-06-052387-5 (first edition, hardback);William Morrow and Company;
Sterling;Bruce;Islands in the Net;348;0-87795-952-8;Arbor House;
Sterling;Bruce;The Difference Engine;383;0-575-04762-3;Victor Gollancz Ltd;
Sterling;Bruce;Holy Fire (novel);294;0-553-09958-2;Bantam Books;
Sterling;Bruce;Crystal Express;264;0-87054-158-7;Arkham House;
Sterling;Bruce;The Caryatids;304;978-0-345-46062-2;Del Rey Books;
Stewart;Fred Mustard;Century (novel);546;ISBN 0-451-11407-8 (paperback edition);New American Library;
Stewart;James B.;Den of Thieves (Stewart book);592;0-671-79227-X;Simon & Schuster;
Stewart;James B.;The Partners (book);395;0-671-42023-2;Simon & Schuster;
Stewart;James B.;DisneyWar;608;0-684-80993-1;Simon & Schuster;
Stewart;Trenton Lee;The Mysterious Benedict Society and the Perilous Journey;503;978-0-316-05780-6;Little, Brown and Company;
Stewart;Trenton Lee;The Mysterious Benedict Society;485;978-0-316-05777-6;Little, Brown and Company;
Stewart;Trenton Lee;The Extraordinary Education of Nicholas Benedict;470;978-0-316-17619-4;Little, Brown and Company;
Stine;R. L.;A Night in Terror Tower;129;0-590-48351-X;Scholastic Corporation;
Stine;R. L.;Creepy Creatures;144;ISBN 0-439-84124-0;Scholastic Corporation;
Stine;R. L.;The Haunted Mask;121;ISBN 0-590-49446-5;Scholastic Corporation;
Stine;R. L.;Dangerous Girls;247;ISBN 0-06-053080-4;HarperCollins;
Stine;R. L.;One Day at HorrorLand;123;0-590-47738-2;Scholastic Corporation;
Stine;R. L.;Nightmare Hour;148;0-06-028688-1;HarperCollins;
Stine;R. L.;The Werewolf of Fever Swamp;123;ISBN 0-590-49449-X;Scholastic Corporation;
Stine;R. L.;Red Rain (novel);384;ISBN 1-451-63612-1;Simon & Schuster;
Stockett;Kathryn;The Help;464;0-399-15534-1;Penguin Books;
Stohl;Margaret;Beautiful Redemption (novel);464;978-0-316-12353-2;Little, Brown and Company;
Stohl;Margaret;Beautiful Creatures (novel);563;978-0-316-04267-3;Little, Brown and Company;
Stone;Robert;Bay of Souls;249;395963494;Houghton Mifflin Harcourt;
Stone;Robert;Children of Light;258;0-394-52573-6;Alfred A. Knopf;
Stone;Robert;Dog Soldiers (novel);342;0-395-18481-9;Houghton Mifflin Harcourt;
Stout;Rex;Death Times Three;213;0-553-25425-1;Bantam Books;
Stout;Rex;Please Pass the Guilt;150;0-670-55994-6;Viking Press;
Stout;Rex;The President Vanishes;296;NA;Farrar & Rinehart;
Stout;Rex;Mountain Cat;306;NA;Farrar & Rinehart;
Stout;Rex;The Hand in the Glove;284;NA;Farrar & Rinehart;
Strasser;Todd;The Wave (novel);143;0-440-99371-7;Dell Publishing;
Strasser;Todd;Star Wars Episode I Journal: Anakin Skywalker;112;ISBN 0-590-52093-8;Scholastic Corporation;
Stratton Porter;Gene;Freckles (novel);352;NA;Grosset & Dunlap;
Straub;Peter;The General's Wife;128;ISBN 0-937986-54-2;Donald M. Grant, Publisher;
Straub;Peter;The Talisman (King and Straub novel);646;978-0-670-69199-9;Viking Press;
Straub;Peter;Black House (novel);625;978-0-375-50439-6;Random House;
Strauss;Darin;Chang & Eng (novel);336;978-0452281097;Penguin;
Strayed;Cheryl;Wild: From Lost to Found on the Pacific Crest Trail;336;978-0307592736;Alfred A. Knopf;
Strayed;Cheryl;Torch (book);336;978-0618472178;Houghton Mifflin Harcourt;
Strayed;Cheryl;Tiny Beautiful Things;368;978-0307949332;Vintage Books;
Strieber;Whitley;Warday;374;0-03-070731-5;Holt McDougal;
Strieber;Whitley;The Wild (novel);378;0-8125-1277-4;Tor Books;
Strieber;Whitley;The Wolfen;252;688033474;William Morrow and Company;
Strieber;Whitley;Communion (book);320;978-0-380-70388-3;Avon (publisher);
Strout;Elizabeth;Abide with Me (novel);304;ISBN 1-4000-6207-1;Random House;
Strout;Elizabeth;Olive Kitteridge;288;ISBN 978-1-4000-6208-9;Random House;
Sturgeon;Theodore;More Than Human;233;NA;Farrar, Straus and Giroux;
Sunseri;John;The Spiraling Worm;320;1-56882-212-X;Chaosium;
Susann;Jacqueline;The Love Machine (novel);512;ISBN 0-553-10530-2 (first edition, hardback);Simon & Schuster;
Susann;Jacqueline;Yargo (novel);347;0-553-12855-8;Bantam Books;
Swanwick;Michael;The Dragons of Babel;320;ISBN 0-7653-1950-0 (hardcover);Tor Books;
Swanwick;Michael;Jack Faust (novel);337;ISBN 0-380-97444-4 (hardcover);Avon (publisher);
Swanwick;Michael;Stations of the Tide;252;0-688-10451-7;William Morrow and Company;
Swanwick;Michael;Bones of the Earth;335;ISBN 0-380-97836-9 (1st edition);HarperCollins;
Swanwick;Michael;The Periodic Table of Science Fiction;274;ISBN 1-904619-01-0 (slipcase), ISBN 1-904619-00-2 (hardcover);PS Publishing;
Swanwick;Michael;Gravity's Angels;302;0-87054-162-5;Arkham House;
Tan;Amy;The Joy Luck Club (novel);408;0-399-13420-4;G. P. Putnam's Sons;
Tan;Amy;Saving Fish from Drowning;474;0-399-15301-2;G. P. Putnam's Sons;
Tan;Amy;The Kitchen God's Wife;415;978-0-399-13578-1;G. P. Putnam's Sons;
Tarkington;Booth;Penrod Jashber;321;NA;Doubleday (publisher);
Tarkington;Booth;Seventeen (Tarkington novel);329;NA;Harper (publisher);
Tartt;Donna;The Goldfinch (novel);784;9,78E+12;Little, Brown and Company;
Tartt;Donna;The Secret History;544;0-679-41032-5;Alfred A. Knopf;
Tartt;Donna;The Little Friend;576;0-679-43938-2;Alfred A. Knopf;
Tashjian;Janet;The Gospel According to Larry;227;9,78E+12;Henry Holt and Company;
Tashjian;Janet;Tru Confessions (novel);176;9,78E+12;Henry Holt and Company;
Taylor;Bayard;Joseph and His Friend: A Story of Pennsylvania;361;NA;G. P. Putnam's Sons;
Taylor;D. Mildred;Roll of Thunder, Hear My Cry;276;0-590-98207-9;Penguin Group;
Taylor;D. Mildred;Let the Circle Be Unbroken;394;ISBN;Penguin Group;
Taylor;D. Mildred;The Road to Memphis (novel);304;ISBN 0-14-036077-8 ISBN 978-0140360776;Penguin Books;
Taylor;Laini;Days of Blood and Starlight;513;978-0-316-13397-5;Little, Brown and Company;
